01-oslo	0013babc-08a9-49c3-8433-297d39844475
02-sapporo	f0167cac-cbc4-48f9-8978-4101d5098346
03-seoul	a1e15644-6a30-47ad-9a2d-a5d09097032b
04-tokyo	f3650995-8623-47be-b86a-0ba1373de1a3
05-santorini	6fb33354-65fd-4c1b-bd71-ff189e881229
06-lisbon	7ee36b3b-8ad2-4855-9324-2b05cf77b2a5
07-havana	11c190e0-f49c-4116-9950-b0617eb6ec47
08-seattle	1873951d-48f8-4897-b5fb-9a3fe97e4222
09-paris	9e3c24ae-a225-4ede-a410-7755572e2b84
10-marrakesh	abba32c9-c8a3-45e9-b2ca-983d55f1a83a
11-hongkong	e66848e9-7ea4-422c-93a0-47742e870f49
12-reykjavik	f7978337-adc6-42e8-b09e-f94766d7c9b5
13-platform	25f5ff7c-0dad-425d-a0f4-6f35e370802d
