01-oslo	Oslo winter dawn, empty cobblestone street before sunrise, blue hour, cold grey-blue light, no sun visible, low contrast, pale sky, frost on iron railings, muted desaturated palette, shadows tinted deep blue, quiet and still, documentary photograph
02-sapporo	Sapporo winter midday, fresh deep snow covering a quiet residential street, bright clean light, pure white snow, high key, very low saturation, soft blue shadows in the snow, crisp cold clear air, documentary photograph
03-gyeongju	Gyeongju Korea autumn midday, ancient grass royal tomb mounds beside a ginkgo tree avenue, brilliantly clear deep blue high sky, crisp transparent air, golden yellow ginkgo leaves, restrained overall saturation, warm clean light, documentary photograph
04-tokyo	Tokyo spring midday, cherry blossom trees along a quiet canal, soft pale pink petals, bright gentle light, pastel sky, soft highlight rolloff, airy and light, documentary photograph
05-santorini	Santorini summer midday, whitewashed walls and cobalt blue domes above the Aegean sea, harsh clear sunlight, vivid saturated blue, pure white, sharp shadows, no haze, documentary photograph
06-lisbon	Lisbon late summer afternoon, narrow tiled alley, warm low golden sunlight raking across terracotta walls, long shadows, amber highlights, warm mid tones, documentary photograph
07-havana	Havana summer afternoon, weathered pastel colonial facades under harsh sun, faded sun-bleached colors, teal and orange cast, lifted blacks, vintage film look, hazy heat, documentary photograph
08-seattle	Seattle autumn overcast rainy day, wet city street after rain, flat grey-blue light, no shadows, low contrast, damp reflections, muted desaturated palette, documentary photograph
09-paris	Paris autumn dusk, tree-lined boulevard at sunset, soft backlight, lavender and muted rose sky, gentle contrast, fine film grain, hazy warm and cool mix, documentary photograph
10-marrakesh	Marrakesh summer sunset, desert edge and clay earthen walls, dusty warm orange light, sand haze in the air, deep lowered blacks, silhouetted palm trees, documentary photograph
11-hongkong	Hong Kong summer night, neon signs over a wet narrow street, magenta and cyan glow, blooming highlights, humid air, deep shadows, reflections on wet asphalt, documentary photograph
12-reykjavik	Reykjavik winter overcast, black volcanic beach and grey sea under heavy cloud, near monochrome, almost no saturation, cold teal tint in shadows, windswept and bare, documentary photograph
